	case	comparison	SNF: FDA & CGC
205193	PROS12319B-SU2C-06115121	ACH-001021	0.9979304642306502
205179	PROS12319B-SU2C-06115121	ACH-000962	0.9979306117304315
205092	PROS12319B-SU2C-06115121	ACH-000776	0.9979309460610472
204874	PROS12319B-SU2C-06115121	ACH-000332	0.9979314765997834
205019	PROS12319B-SU2C-06115121	ACH-000625	0.9979317036423123
205005	PROS12319B-SU2C-06115121	ACH-000601	0.9979321911264412
204780	PROS12319B-SU2C-06115121	ACH-000098	0.9979324323899844
204982	PROS12319B-SU2C-06115121	ACH-000559	0.9979333649536636
205166	PROS12319B-SU2C-06115121	ACH-000919	0.9979337703574717
205136	PROS12319B-SU2C-06115121	ACH-000860	0.9979338929757504
205184	PROS12319B-SU2C-06115121	ACH-000971	0.9979339248798135
204791	PROS12319B-SU2C-06115121	ACH-000116	0.9979343230688943
205073	PROS12319B-SU2C-06115121	ACH-000729	0.9979345452785677
205018	PROS12319B-SU2C-06115121	ACH-000624	0.9979346609300586
204857	PROS12319B-SU2C-06115121	ACH-000290	0.9979348286843388
205081	PROS12319B-SU2C-06115121	ACH-000748	0.9979348944621833
204778	PROS12319B-SU2C-06115121	ACH-000092	0.9979351549064996
204959	PROS12319B-SU2C-06115121	ACH-000510	0.9979352739128775
204986	PROS12319B-SU2C-06115121	ACH-000563	0.9979356612309551
204893	PROS12319B-SU2C-06115121	ACH-000366	0.997935689566642
205167	PROS12319B-SU2C-06115121	ACH-000924	0.9979366119831955
205150	PROS12319B-SU2C-06115121	ACH-000883	0.9979368945457713
205157	PROS12319B-SU2C-06115121	ACH-000900	0.9979376309496044
204855	PROS12319B-SU2C-06115121	ACH-000282	0.9979378282548257
204967	PROS12319B-SU2C-06115121	ACH-000525	0.9979379679038229
205144	PROS12319B-SU2C-06115121	ACH-000871	0.9979382556091854
204794	PROS12319B-SU2C-06115121	ACH-000121	0.997938379349927
204960	PROS12319B-SU2C-06115121	ACH-000514	0.997938488730236
204984	PROS12319B-SU2C-06115121	ACH-000561	0.9979391842493174
204901	PROS12319B-SU2C-06115121	ACH-000389	0.9979395615994304
205076	PROS12319B-SU2C-06115121	ACH-000738	0.9979396434729204
204999	PROS12319B-SU2C-06115121	ACH-000586	0.997939789434944
204861	PROS12319B-SU2C-06115121	ACH-000298	0.9979398279230097
205083	PROS12319B-SU2C-06115121	ACH-000752	0.9979402135545837
204883	PROS12319B-SU2C-06115121	ACH-000352	0.9979403315059667
204956	PROS12319B-SU2C-06115121	ACH-000504	0.9979418322305879
205003	PROS12319B-SU2C-06115121	ACH-000596	0.9979423029525276
205206	PROS12319B-SU2C-06115121	ACH-001190	0.9979430656670238
205096	PROS12319B-SU2C-06115121	ACH-000783	0.9979447550071857
205146	PROS12319B-SU2C-06115121	ACH-000878	0.9979449661920204
204767	PROS12319B-SU2C-06115121	ACH-000040	0.997947645791187
204775	PROS12319B-SU2C-06115121	ACH-000078	0.9979479014116936
205086	PROS12319B-SU2C-06115121	ACH-000759	0.9979490457967704
205125	PROS12319B-SU2C-06115121	ACH-000843	0.9979491550302173
204931	PROS12319B-SU2C-06115121	ACH-000447	0.9979494813571377
204815	PROS12319B-SU2C-06115121	ACH-000186	0.9979496733699272
205128	PROS12319B-SU2C-06115121	ACH-000848	0.9979497882205579
204912	PROS12319B-SU2C-06115121	ACH-000416	0.997951321562234
205010	PROS12319B-SU2C-06115121	ACH-000613	0.9979563713175948
204997	PROS12319B-SU2C-06115121	ACH-000584	0.9979563857017493
204890	PROS12319B-SU2C-06115121	ACH-000360	0.9979586365376295
204990	PROS12319B-SU2C-06115121	ACH-000570	0.9979588911467746
205159	PROS12319B-SU2C-06115121	ACH-000903	0.9979598344794769
204995	PROS12319B-SU2C-06115121	ACH-000580	0.9979599837880352
205186	PROS12319B-SU2C-06115121	ACH-000979	0.9979600352175609
204873	PROS12319B-SU2C-06115121	ACH-000330	0.9979606066519049
204888	PROS12319B-SU2C-06115121	ACH-000358	0.9979606921683403
204756	PROS12319B-SU2C-06115121	ACH-000001	0.9979608905770122
204898	PROS12319B-SU2C-06115121	ACH-000381	0.9979613359016606
205196	PROS12319B-SU2C-06115121	ACH-001039	0.9979613749778098
205048	PROS12319B-SU2C-06115121	ACH-000678	0.9979628444820491
204899	PROS12319B-SU2C-06115121	ACH-000383	0.9979631693171203
204961	PROS12319B-SU2C-06115121	ACH-000515	0.9979635677788302
205194	PROS12319B-SU2C-06115121	ACH-001023	0.9979656625679404
204822	PROS12319B-SU2C-06115121	ACH-000200	0.9979661410303488
204869	PROS12319B-SU2C-06115121	ACH-000319	0.9979661848834279
205062	PROS12319B-SU2C-06115121	ACH-000711	0.9979671647142612
205120	PROS12319B-SU2C-06115121	ACH-000828	0.9979674671064132
204951	PROS12319B-SU2C-06115121	ACH-000488	0.9979677625917093
204985	PROS12319B-SU2C-06115121	ACH-000562	0.997967971437171
204833	PROS12319B-SU2C-06115121	ACH-000228	0.9979686772848254
204975	PROS12319B-SU2C-06115121	ACH-000545	0.9979696944299117
204882	PROS12319B-SU2C-06115121	ACH-000351	0.9979700295617767
204804	PROS12319B-SU2C-06115121	ACH-000149	0.9979703793588763
205153	PROS12319B-SU2C-06115121	ACH-000890	0.9979709941078247
204963	PROS12319B-SU2C-06115121	ACH-000518	0.9979719022288867
205129	PROS12319B-SU2C-06115121	ACH-000849	0.9979724493793026
204870	PROS12319B-SU2C-06115121	ACH-000320	0.9979728227238351
204920	PROS12319B-SU2C-06115121	ACH-000428	0.9979737821650987
205142	PROS12319B-SU2C-06115121	ACH-000867	0.9979747487754826
205185	PROS12319B-SU2C-06115121	ACH-000976	0.997975529833483
205049	PROS12319B-SU2C-06115121	ACH-000679	0.9979776063785272
204818	PROS12319B-SU2C-06115121	ACH-000189	0.9979778168859488
205160	PROS12319B-SU2C-06115121	ACH-000906	0.9979778766516089
205069	PROS12319B-SU2C-06115121	ACH-000722	0.9979790161977565
205102	PROS12319B-SU2C-06115121	ACH-000792	0.9979790459966228
204900	PROS12319B-SU2C-06115121	ACH-000384	0.9979790716642641
205054	PROS12319B-SU2C-06115121	ACH-000691	0.997979678323675
205024	PROS12319B-SU2C-06115121	ACH-000637	0.9979806465786674
205058	PROS12319B-SU2C-06115121	ACH-000699	0.9979810499700804
204978	PROS12319B-SU2C-06115121	ACH-000548	0.9979813059208984
204930	PROS12319B-SU2C-06115121	ACH-000443	0.9979819196291354
205045	PROS12319B-SU2C-06115121	ACH-000674	0.9979820070099346
205111	PROS12319B-SU2C-06115121	ACH-000812	0.9979823724190888
205074	PROS12319B-SU2C-06115121	ACH-000730	0.9979825081934426
204821	PROS12319B-SU2C-06115121	ACH-000196	0.997982622110212
204992	PROS12319B-SU2C-06115121	ACH-000572	0.9979831266974953
205063	PROS12319B-SU2C-06115121	ACH-000713	0.997983325942509
204977	PROS12319B-SU2C-06115121	ACH-000547	0.9979840167839408
204919	PROS12319B-SU2C-06115121	ACH-000427	0.997984583719041
204917	PROS12319B-SU2C-06115121	ACH-000424	0.9979851439180818
205161	PROS12319B-SU2C-06115121	ACH-000910	0.9979851610021662
205047	PROS12319B-SU2C-06115121	ACH-000677	0.9979858085668287
204853	PROS12319B-SU2C-06115121	ACH-000276	0.9979859206077586
204824	PROS12319B-SU2C-06115121	ACH-000207	0.9979860870223967
205027	PROS12319B-SU2C-06115121	ACH-000640	0.9979870193409736
205050	PROS12319B-SU2C-06115121	ACH-000680	0.99798712839476
205066	PROS12319B-SU2C-06115121	ACH-000718	0.99798768613688
204825	PROS12319B-SU2C-06115121	ACH-000210	0.9979877804137557
204829	PROS12319B-SU2C-06115121	ACH-000219	0.9979877989035435
204996	PROS12319B-SU2C-06115121	ACH-000581	0.9979882387581381
204863	PROS12319B-SU2C-06115121	ACH-000304	0.9979884874141647
205108	PROS12319B-SU2C-06115121	ACH-000809	0.9979885432863824
205034	PROS12319B-SU2C-06115121	ACH-000655	0.9979887813072268
205038	PROS12319B-SU2C-06115121	ACH-000665	0.9979893614181642
204770	PROS12319B-SU2C-06115121	ACH-000052	0.9979896140196847
204769	PROS12319B-SU2C-06115121	ACH-000047	0.9979902788844213
204964	PROS12319B-SU2C-06115121	ACH-000521	0.9979902968640324
204865	PROS12319B-SU2C-06115121	ACH-000308	0.9979905172776771
204973	PROS12319B-SU2C-06115121	ACH-000536	0.9979908038520442
205068	PROS12319B-SU2C-06115121	ACH-000720	0.997992269706168
205174	PROS12319B-SU2C-06115121	ACH-000947	0.9979923130328671
204953	PROS12319B-SU2C-06115121	ACH-000491	0.9979925088734836
205114	PROS12319B-SU2C-06115121	ACH-000819	0.9979930772120609
204768	PROS12319B-SU2C-06115121	ACH-000042	0.997993123725815
